FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,20298.3430332386,4965.73764256171
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,4265.36152240153,1081.14335949753
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,2747.68417002026,1020.40833355696
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1985.78481706466,1026.70407181078
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1065.00571561274,681.28059524423
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,968.676210856973,704.887787698767
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,1485.4887049711,1207.19383108555
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,2103.71137569161,1774.87182577403
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,2435.72282991492,2016.23986581102
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,2928.90345208557,2118.57051759816
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,4842.31546040233,2742.74619330249
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,9985.91598837344,2848.13404489693
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,17219.748972078,3787.58480474201
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,33854.8353645957,6491.88764132182
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,11023.8247554264,1942.33560987671
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,7323.4787808204,1422.06960587437
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,4063.87709781881,971.159373322943
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,3095.57759882017,1015.61647384942
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,3123.21990269893,1454.96761055087
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,2244.22827384892,1276.66510371568
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,2210.0592737553,1377.14591486957
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1287.75175728346,832.980907673171
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,1582.32350312999,997.701339178096
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,1599.50086692687,922.645228496435
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,2500.59789805349,1222.11631958354
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,4957.1281828291,1881.12277305148
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,11153.0932722583,3160.43279946615
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,20661.8527924052,4632.01998377
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,22871.8019905842,4519.73582017916
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,19912.0542368676,3578.31887933368
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,24585.1802417789,4293.60610768378
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,14487.9372362457,2389.75990959565
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,18259.3507957836,3025.65176108696
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,18965.709289057,3191.29431199392
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,33180.052476369,6012.00515955649
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,36265.5542628137,6464.79727313722
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,36850.1837571098,6363.93179933477
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,37760.165458508,6067.25983294049
