FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,0.216922994907289,0.115180613745815
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,1.82123860567236,1.01736285694549
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,7.22760397040245,5.13661649525558
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1.67445336612874,1.42817894772981
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,0.308233984404633,0.293537615904627
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,0.11167158355452,0.113417170769075
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,0.053873361758732,0.0592266941540985
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,0.118857945100035,0.134642142444056
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,0.0818159323889649,0.0974038830060599
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,0.0660877085077859,0.0729033547442973
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,0.0980570142290519,0.0923540829135254
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,3.58212781979772,2.24967738919684
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,11.1570865002657,4.68284778088304
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,30.8621352976441,9.99165969066337
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,320.923492840717,77.0759567360355
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,235.579872161734,74.2685662814834
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,959.510353608463,450.42462763903
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,930.535080473626,596.939314569964
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,1051.43130323983,830.265251799058
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,216.960856365428,189.931500438622
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,11.2685409002639,10.395964621179
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,78.0361140954053,72.9362424711987
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,65.6193145322065,60.6282782971821
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,98.7288835764877,87.3000207642206
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,373.017579728899,301.855130178144
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,150.695627239335,106.002772159652
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,732.662669389393,421.208426176843
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,914.152899012954,405.755223569661
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,260.532399467661,90.2783489903744
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,226.417207376604,64.3883908916447
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,63.3760659241294,18.2650828736384
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,39.2997569786649,11.3463912643984
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,71.9151046875885,20.3431719567074
