FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,2465.88050646543,630.066187366189
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,8364.13015226216,2233.1843798633
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,7167.48469478964,2286.00714359257
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,4365.08937343069,1583.98677948351
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,3850.7514801341,1512.86819923572
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,2640.15677269576,1091.22967574933
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,1094.38750221933,482.588416390811
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,747.284722875266,338.99217480452
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,626.428938631561,299.256761208757
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,693.375851015016,309.105750446084
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,846.692156193972,328.986578502945
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,55333.0361692447,14159.1547901038
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,8617.25145959327,1882.37517116467
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,5861.89884182538,1169.8030351533
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,20323.2363902572,3866.31757658963
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,19880.3030269932,4225.52294119648
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,24656.4058005368,6371.60977995776
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,16620.1215517081,5107.41706144647
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,9785.72014232229,3429.65137498088
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,6707.88944168205,2513.78418881179
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,3339.46852863725,1293.6350989682
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,6995.74324036907,2748.36735464063
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,5660.32961154506,2201.13105584992
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,7467.69088145726,2812.66564131993
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,9593.91050336309,3404.70023024102
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,8006.59180600389,2574.86977571911
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,7427.93664658937,2108.68243791538
