FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,59409.3516836797,11499.6578452616
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,133125.302393345,23364.7008868854
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,235378.334500803,47175.6524457987
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,157138.063613738,34661.5540742067
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,130203.816293799,30622.2998581351
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,94316.4229888635,23185.5028065499
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,74753.8285343561,20039.2311728397
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,81558.3662780478,22825.7341630584
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,95537.5086672207,30197.3875559087
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,86184.2335105861,25134.9424562797
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,64149.1812859647,15700.1787608305
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,382532.180766121,90921.4977340536
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,96663.9297544998,17946.0193714212
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,57065.6817137002,9363.7675629198
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,188650.557066008,27586.5199394986
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,282627.549099245,43757.0476075331
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,623668.423469853,114095.740260157
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,623913.067655163,126751.359824289
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,496523.279612025,108192.464341584
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,439446.39313398,99139.9308630609
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,232606.204930549,53511.9762550643
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,440305.526703865,103355.17197917
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,416540.586508401,96611.4208558267
