FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,5372.93134033265,1497.4886077101
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,9246.28758031117,2275.49164861014
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,24817.172270247,7338.11842307039
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,26970.1391069497,9199.55940142342
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,21792.9869737481,8254.76778890519
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,20348.970022588,8334.15264019173
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,17326.773399953,7921.2714863744
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,21240.9518457702,10143.7318155734
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,16809.7035863956,8541.05187279586
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,19498.2857766206,9022.56140127861
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,22207.2539279687,8533.3739322998
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,1208.92829908953,409.211843600918
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,1021.64052916633,283.685951283616
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,2687.16175261542,636.989995684002
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,4887.69461061784,947.158483297449
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,6339.91222495013,1309.53341942492
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,19962.2591665995,5088.5979834706
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,41502.1345967105,12258.5388220463
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,53863.4793294728,17801.1687574805
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,47392.1499587893,16873.1791555102
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,36313.3506155008,13403.3540948996
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,41492.5917315721,15837.0890614653
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,44638.1076760103,16732.4774330875
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,42941.2640229131,15427.6435213075
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,42152.7279988237,14039.108570396
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,32944.6192410504,9718.2269322152
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,38772.835571348,10150.8867273105
