FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,17086.2765605089,3555.21421522276
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,25490.0508760192,4917.82933949081
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,12689.865365678,2927.83131990023
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,11066.0134314578,2881.70475072498
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,11616.4833145822,3263.75290709566
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,10092.6175800337,2981.3176117744
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,3091.08128639923,1003.77512583295
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,2082.01652233569,705.890057186339
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,988.81822041138,373.213611498613
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1505.77872403923,523.49916353299
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,4436.16158046155,1282.39177942733
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,4605.76420461837,1214.04211234804
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,7481.39190943018,1467.33497587433
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,11189.5724142942,1906.93479148535
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,16679.6571414653,2503.9626892816
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,21338.4590620924,3450.32348882326
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,17093.7625736061,3364.41876922276
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,12796.5231625167,2923.44947518943
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,13510.3461282967,3430.5901522039
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,11752.4020233738,3151.58296442187
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,13723.8170352856,3770.59622516995
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,10971.5606946305,3082.6713752909
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,11435.6456709943,3172.97100764131
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,11260.9596932833,3037.78305803387
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,11875.9841946146,3033.21246757603
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,11305.1879693693,2607.75833202797
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,11773.4772507365,2410.16671155214
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,17037.0850189853,3092.06540480694
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,24097.0339979832,3936.3474140045
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,25808.4649773672,3873.99106241055
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,27055.4823408777,4062.90291118675
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,21874.6815754407,3200.68260065881
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,26534.4358923184,3820.44277939654
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,27221.0560458128,3878.32324950638
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,22185.8101818789,3463.07110712284
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,17393.3784217227,2746.41917317547
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,16033.8596059454,2489.01909587104
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,22428.4721864169,3209.87579296179
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,12986.1450404314,2055.63008998726
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,7286.9470866031,1429.36301594526
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,4926.31246453857,1253.90676520681
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,5984.77684054583,1514.4374406429
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,5931.62226376126,1509.58140273432
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,5361.09460813939,1431.97578689758
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,5903.97835498713,1574.99800770156
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,20378.9787438516,2864.81808441053
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,5964.07753568743,1263.43539720512
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,10870.0083119383,1967.59851349818
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,17678.9913083998,2556.90162270835
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,23098.8335528775,3687.03479963837
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,50667.9715095527,10190.3886805659
