FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,19.4673656049785,16.4876754073053
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,84.7660100760255,51.5533890302378
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,132.4842797432,86.7373879423176
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,100.442512347472,71.0767485824921
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,80.3299737751579,59.8291021620813
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,60.4320012820728,45.9650904481043
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,29.175238071664,27.3647233926148
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,29.5835980106292,31.3632795314108
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,20.3987067035967,29.1162627779406
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,23.3808109107888,29.5883600351288
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,33.1690095796663,30.5903939593527
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,13.5202505621374,19.4451813038826
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,24.6507182887861,20.678196164934
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,38.4104942247209,23.2517897705785
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,118.071896661082,54.6639306881206
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,151.960730323364,77.0313982800965
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,247.775945493797,150.557768715647
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,278.285428364063,181.21291282605
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,291.401578557961,199.823231889707
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,257.498456853154,182.403740689309
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,179.53389609604,130.439185742466
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,231.989536421306,170.195784984341
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,238.493456569665,172.747078438128
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,237.654458972168,169.768039553569
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,247.18360151426,170.990969992714
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,184.32384908294,119.532348180944
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,224.091903066042,132.79244958603
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,248.874207397282,132.676436211407
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,205.150163942595,102.266328383869
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,199.567648999331,92.0867049225803
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,124.504872009629,59.896737963237
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,79.4389251260248,37.1032689083557
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,80.6787878766574,37.1358471426288
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,74.0542983939748,33.4867760791671
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,41.8436490435724,21.7829697137286
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,30.0676775211632,16.2993291840825
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,25.1513993864893,13.6648919383471
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,35.2072207183251,17.3291569518108
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,17.4788190568317,11.2648412898658
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,13.2573480086885,12.6954802317598
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,18.7171209904632,27.2262472736436
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,28.7664948508704,41.412654565826
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,28.4724432466166,40.9790974660354
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,9.66862057417234,13.7262137076023
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,9.25758538090347,13.1264058170521
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,66.4428862444128,27.6580881842318
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,30.3929918826611,30.4881982234182
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,38.1354575883155,27.227855210956
