FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,8368.34029349512,1757.06393611034
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,87628.98319948,16328.3500485136
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,75946.9807481764,16580.7821418235
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,49203.2063129131,12050.2467378701
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,46872.5593941537,12372.2005196871
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,28221.2060886289,7828.79907754704
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,3166.66193869632,982.390298147913
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,1792.54477919871,585.36715910286
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,577.240510461954,214.065575167238
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,984.84949520037,335.382244140858
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,3596.36791403527,1007.9813307006
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,1191.54867109132,330.166337505391
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,3687.71343300191,743.432044508611
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,8150.41738809179,1372.49063768353
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,69125.1505260851,10089.0554140912
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,111720.524674646,17521.0614532638
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,136245.466432113,25948.8397442353
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,109424.648216124,23856.4508619738
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,100156.739920156,24058.6681144157
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,104232.962376944,26347.9286176161
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,92039.9386068725,23840.9056703824
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,104590.396836747,27695.6364425112
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,106321.139007843,27809.2646544712
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,106160.637217503,27021.0050529479
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,101155.728417123,24397.3005089546
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,83034.4889577291,18144.2831337316
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,81913.7810693465,16044.7866827213
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,95755.1805251896,16748.8411033111
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,91712.6471090608,14628.5663029611
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,90353.4808196818,13337.8800573373
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,51393.4080790754,7530.17580014138
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,32745.4079614307,4651.70602525416
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,42075.5207998571,5832.92042862947
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,50360.6412710461,6876.35580610892
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,26098.4251687589,3929.7265374629
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,20220.3922102945,3107.25167106671
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,20482.7089530622,3106.29421789609
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,48180.7965640654,6638.59906189774
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,12688.867309024,2008.02223267721
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,4213.02711908461,854.516302207177
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,874.086918445396,235.616440478845
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,1121.07471362127,299.086406028584
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,1178.82716256298,315.964673387526
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,2021.17760389663,562.3805971295
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,2180.73990136903,605.308986728597
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,58305.9386775339,7835.5662079432
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,2667.69474421676,588.276347763982
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,6109.2898420062,1100.17701718162
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,69564.1980870551,9657.62921285637
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,62136.819959658,9650.95576124346
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,74178.5848552287,14329.4559701503
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,56538.2028885361,12140.706307419
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,57813.5980264642,13201.1225516821
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,55448.7579888795,13418.8232993442
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,93974.1778803746,22776.3931605049
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,57846.0832457485,14506.2223872576
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,76795.2893075021,17890.321148045
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,54340.4180996522,12794.5837143527
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,54018.6264195915,11987.1512745781
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,61893.8437102964,12659.3042511421
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,57922.0097245219,10908.3927841331
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,56798.6932191083,9742.26101880459
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,64263.7041583326,10661.0293438213
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,89779.4223429775,15401.0739396726
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,102443.33923254,16758.5337762868
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,108402.996559074,16371.1714421861
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,125631.406127663,17062.0918362281
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,148757.873408216,18260.0046840401
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,149246.155981903,18021.1293612072
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,138190.252878024,16873.2977795071
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,147692.49200753,17543.4277260471
84,-97.58,24.44,-25,-25,1,25,123.21,0.368487,22.5919,3.919675,131020.558928682,16210.6089068904
85,-97.58,24.54,-22,-22,1,22,123.21,0.390348,22.4864,3.86228,106292.656709723,13578.8688405914
86,-97.58,24.64,-21,-21,1,21,123.21,0.453906,22.2592,3.79972,94973.022603186,12073.6071940086
87,-97.58,24.74,-12,-12,1,12,123.21,0.716313,22.01655,3.73624,16978.8830981255,2571.74984365734
88,-97.58,24.84,-16,-16,1,16,123.21,0.905255,21.7946,3.67478,32892.8253004023,4466.546279609
89,-97.58,24.94,0,0,1,0,123.21,0.787787,21.6817,3.614155,766.943211812958,221.968557530814
96,-97.58,27.04,0,0,2,0,123.21,0.574977,26.7454,3.5183,1085.10299826474,287.95922239347
97,-97.58,27.14,0,0,1,0,123.21,0.636355,26.7045,3.53237,900.004595957859,243.213412362112
