FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,956.850879009426,273.16564774715
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,1396.8392655073,401.084113034365
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,1150.44587686967,398.306601167026
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1297.04927719932,521.666656552129
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1016.65686058414,449.742648118105
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,997.90472809372,468.74619727623
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,1487.63924344705,747.408330697505
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,2058.44675018222,1066.03025635373
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,2601.47461436132,1411.81914069068
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1770.78615152046,888.217758882687
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,1523.9852723034,656.433458033154
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,40472.3672289318,11833.7746414655
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,905.357415074015,284.102298571283
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,1640.42009086042,467.128755644029
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,1559.40547230941,393.542077023826
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,1471.02199049095,368.545091160266
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,190.659932730013,54.0799012028262
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,168.995647838673,56.6435819800537
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,238.320699677498,92.8980973064921
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,619.497753849473,260.417972722332
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,1714.95021558689,749.335124525255
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,608.014690884815,270.255940982742
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,722.457561518029,317.036184735497
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,577.76874810814,244.167878433324
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,529.035017316295,208.839337271149
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,2039.37272651372,715.734526573185
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,1917.16335393566,584.927500452947
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,2328.09984218955,629.242736424574
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,1930.27181842761,482.423731917395
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,1029.05171107141,249.448072845459
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,723.515719973785,184.831234617119
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,503.306770835878,133.561799061373
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,517.760891896036,142.839956259165
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,512.833055754525,144.68139297489
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,667.131289487809,199.163837687228
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,831.475587050147,247.89633854336
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,1075.51212141669,310.681923096831
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,1686.55535127038,445.218670066932
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,3164.8278636789,815.365689271259
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,8138.04602999187,2153.20605535921
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,93119.0178221707,26353.6208211981
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,58228.4367208386,16211.6423738464
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,52601.560701495,14726.0992676038
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,10544.8657038312,3248.61625647198
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,10586.0786213333,3255.90707795956
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,646.869823026193,181.786841362519
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,519.006933106219,172.125109096655
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,1502.94801947397,458.319180327689
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,112.379845144998,29.519874690656
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,104.697274772537,27.2684791627831
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,70.4829049921915,21.0224171810874
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,132.133507911129,44.5261797817293
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,69.3414887030447,25.4532853006362
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,85.2735830648824,33.6424744491884
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,1148.34140269674,452.636657961296
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,120.13476050848,49.4589270137095
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,532.290573557416,201.931250423538
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,104.101370601892,39.4821037999201
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,96.458942412678,34.0198018360646
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,67.2448410973301,21.7190939149598
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,79.5766122172809,24.2103866073117
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,69.7495522524785,18.9211053817251
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,85.7582642681908,23.4861775658913
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,40.5681462673297,11.9169640290422
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,27.9962743927415,8.29979474698228
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,27.970458038696,8.2556245883776
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,41.205589937605,11.7669921661841
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,148.374213307309,40.40859687532
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,300.890991611418,81.1040789624629
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,669.897033809277,177.682825841166
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,892.339973379225,225.370760693017
