FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,364218.585665039,71213.308103602
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,49896.0950244393,9013.34335164096
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,39281.608983683,8237.40407704697
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,35426.4474273935,8269.13005717424
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,32403.2731354256,8102.37317607689
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,37199.4196229015,9751.29146554445
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,143983.763173808,41296.3416688023
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,209683.993129143,62776.6953551171
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,546871.766728558,182866.451759205
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,411837.001430563,127206.336986754
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,187010.043097084,48555.0273164859
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,16415739.5609096,3954628.36214584
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,962484.94836661,177756.767856359
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,300577.887044166,49084.4085930036
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,78675.4889621284,11435.9415082084
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,61904.992543971,9656.14331393922
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,43734.50631083,8110.25138770782
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,30798.6466117568,6468.51778636139
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,21749.6485942626,4991.27067840215
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,22508.6962309297,5399.54138012277
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,25236.0146653155,6196.41952006397
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,21613.3900526326,5401.62644433097
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,23303.2360213088,5755.85438391895
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,23512.6665200282,5664.86056152999
