FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,9735.1998823198,2760.34562104476
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,735.792455105567,199.000303842659
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,798.405653182635,239.750990548721
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1441.29581133039,471.884079482173
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1200.71859577419,419.712336997755
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,2126.67822653317,778.402371151396
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,18090.6355373369,7213.88691226538
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,34641.4194480541,14410.8087325664
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,75331.5341467501,35038.1764515634
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,39928.6775432784,17167.5388435478
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,14337.4464478864,5242.59041655831
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,250701.679502778,83604.4476214219
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,26755.9455465924,7241.99616231485
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,13706.5654143311,3433.62297135063
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,745.676002552497,175.725984663494
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,511.107162037132,128.527039823115
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,179.872130392607,51.7936195455419
