FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,1208836.01543314,239953.943671582
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,1314588.1955371,228535.365724885
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,1968400.71226081,384946.231476967
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1363501.83720375,289569.39127894
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1336818.33100159,300084.413905296
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,1030882.32753311,241068.743162408
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,842330.390535322,218589.42997314
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,747291.373742835,204387.830081365
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,982155.894529817,312393.23478878
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1030849.39525537,301435.464167557
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,724031.032407462,174770.430543588
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,1025159.37082053,258633.62328677
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,285544.115836873,54117.0710652
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,153804.177827427,25387.6508837574
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,519817.776433768,76545.9689372885
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,1109940.62418762,173507.644834169
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,3226507.4476884,590721.417370642
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,2868875.79148689,576874.675615188
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,1493784.92063197,318035.11469131
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,1356624.49632621,296195.956229844
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,943701.400850127,208817.500717478
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1578616.4594582,356462.063611287
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,1517041.35520482,338506.815359909
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,1717856.56819311,376776.19621677
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,1424046.03664659,302150.519013473
