FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,29864.5495548023,5997.34841076192
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,125510.022119108,22950.7803891255
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,205317.172155917,43094.7173489755
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,128181.888899453,29535.2906139748
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,132229.687972606,32361.4606395232
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,85294.4056450471,21769.6459946626
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,61039.910566317,16951.2396736004
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,46021.7578917183,13318.5945981457
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,75602.4451557122,24553.3362205382
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,53925.7870331476,16218.1667646339
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,22952.7162350277,5829.68872168957
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,116649.771543194,28275.8664471867
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,34725.9447135397,6670.63430689627
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,7558.41543573652,1301.95916300015
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,77364.5394139548,11888.2618020964
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,210819.199947356,34215.6060044936
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,609554.475154967,116412.93786678
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,566732.898537172,120431.972942282
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,311845.676574946,70938.3367374484
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,267108.558569683,62772.369347195
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,95041.7406961344,22724.5034271341
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,373089.979610484,91045.5960638374
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,257037.656512027,61964.3371115262
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,366663.898400078,86647.250914522
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,386663.042106531,87843.3195900866
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,174152.223054972,36543.604319682
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,88683.66116211,17017.2259912106
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,38090.7019776878,6700.1102041025
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,19923.2773754862,3255.16595832109
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,18124.3250366885,2774.51172771397
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,7768.46746122123,1191.6692357448
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,18351.5019673883,2723.26674709639
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,15890.0382263241,2298.28563196881
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,24364.2498890391,3463.20412759475
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,17724.0210063656,2759.03313615174
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,28055.3831203807,4435.81959968471
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,40992.8223513555,6395.45052660717
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,49143.5836720095,7079.26305970831
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,43380.9372598347,6807.31198880993
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,32164.3926214127,6027.41967557511
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,13011.5964556473,3034.81177912303
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,9563.91659795662,2226.90853137153
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,12186.6124882895,2854.8819586626
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,318993.710983036,78155.7169235749
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,318760.338972572,77977.0586852325
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,134191.109824359,18963.2076581469
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,11897.4732097914,2412.22730457351
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,1826.00358978171,330.059356846684
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,34264.5322959875,5062.33854543426
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,34404.1659810184,5620.7698443806
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,73625.9242655941,14763.7364228116
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,71294.5821349474,15482.252354083
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,22304.6922275075,4941.3037684636
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,21848.4389619681,5071.74641033635
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,14959.1807791485,3430.29409243041
