FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,953.110639559465,409.683940272702
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,762.447714410375,394.319351878371
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,380.82624602572,245.29828256437
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,272.71077501676,205.449192727013
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,300.367172470001,248.244918725984
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,263.674344483839,231.370593823618
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,209.366899818231,193.254269276699
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,153.568044304672,144.412106245371
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,201.178122126186,184.685074231574
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,252.869906045957,217.305084068522
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,289.911053213679,222.827418753793
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,1221.98842244465,279.298335083412
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,1227.02459389584,438.97932194701
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,483.015020621205,170.830401002258
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,649.411492448008,242.804995320385
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,806.297992902386,332.206492528861
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,855.264221353845,402.754458563341
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,548.804364432003,323.215543460845
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,292.62520147741,206.852186948224
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,232.350472220425,181.119669113867
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,184.916401088104,150.959746067909
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,265.038428725127,218.438451920154
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,237.055021820081,193.347330673851
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,297.417976651878,232.265424131009
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,304.701453029807,221.292843472314
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,252.851304721044,165.216499935233
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,218.093136769541,123.394176962413
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,218.687871627086,107.43684219481
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,320.500267209151,137.012835077872
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,450.297150610123,171.402577198249
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,465.230737699213,168.97784037289
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,853.502182151881,289.597513861458
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,681.573244114786,231.775174663833
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,617.760911734681,211.791314602377
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,445.099613042534,154.526109244768
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,423.124585563415,141.0798298607
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,414.378378896462,130.998252800588
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,326.25731484782,97.3895536858466
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,376.708838249943,105.929324331245
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,351.924705619008,94.4441720444567
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,525.90719379037,119.342050217729
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,516.892868308057,124.438791370602
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,549.174183947289,132.781287728603
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,1405.44792609255,341.431963314894
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,1422.67462649302,344.14933867684
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,914.203487396865,324.918012433903
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,773.023095086341,257.48373949592
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,254.615035084357,89.9157717407671
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,309.143120336657,110.706931665376
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,252.561521634693,97.5493763058034
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,312.666490758285,139.510250370273
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,182.256290606088,98.4814507524313
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,93.9730110324004,62.7876588169295
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,77.9390198819281,56.110395729327
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,56.7725886295456,42.5367268014985
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,74.5112287402267,54.9141353454624
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,93.0142115622353,66.439053069934
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,111.232476959586,75.10078421764
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,107.287663981328,67.0975930880114
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,125.040659778688,71.3458994679056
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,152.355089354657,77.1509768860647
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,180.072736482957,78.0809403159466
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,224.86116719807,87.7285135773548
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,338.322056964631,128.656348368414
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,369.137651131514,136.683554785511
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,429.764764192848,154.300145565441
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,453.386081986869,160.087799488057
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,395.057707851412,140.205262750176
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,276.836333250759,97.1925911261534
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,225.828282795857,74.8460673592467
