FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,217.201935344684,101.286010500182
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,266.094008486569,213.908318199761
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,113.355627412715,156.176630410405
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,18.8811702847098,36.9958826261147
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,4.30658770183808,10.3438555240609
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,1.48879469401013,4.02423425023899
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,0.235277318713052,0.698406821900512
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,0.162446353593994,0.496902596076652
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,0.0965451127081944,0.285343584036074
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,0.397773992612213,1.04155740161029
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,3.49521470542085,7.37731592866691
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,816.928718763488,404.826549224416
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,422.757286406328,140.415267566729
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,1184.86178481857,310.753875571465
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,2071.9069454485,471.038654906293
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,1297.76759699963,379.392361807293
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,1502.03352107091,894.043245647309
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,407.839901188658,464.057919870794
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,62.753076672462,109.539123302718
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,14.5601657532665,31.1480967464189
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,6.31315752418447,14.7830531082306
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,5.7649890910235,13.9145920624573
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,7.52098759335337,17.7511307165376
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,12.6303542184397,27.3764103381525
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,30.253615910098,55.6501265256477
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,66.2805607681831,93.782006691364
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,347.107251658576,334.659930231578
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,1298.1463588326,748.048984665272
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,3073.31070941972,1014.69510579409
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,6187.07941777294,1466.97654046127
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,7139.00142032456,1638.45817696137
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,3688.59664917967,802.836037954167
