FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,180.650584802846,107.174821017902
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,94.3817862168251,74.8443475372415
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,18.6330390958249,19.4443606385408
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,3.64429607353468,4.55430742345101
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1.6542289830446,2.29344393117922
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,0.595563172247197,0.87807761276581
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,0.636967163646371,0.991970427275492
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,0.798056894552037,1.27604110147611
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,5.65311109215817,9.46315669651713
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,4.47729167079062,6.86109097119471
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,1.99440207935821,2.61068980932865
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,32331.4976792705,22531.3272981079
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,10342.8800401329,3402.29879817886
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,2483.48894523012,661.900019584257
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,9250.51015265011,2615.65286400862
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,2112.16958309679,929.464767695786
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,110.942098641745,75.2520015270287
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,19.5378970908261,18.3736130716353
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,5.09816700347346,5.94685084823082
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,4.2798456820304,5.54160661169114
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,4.2643250643769,5.81097933659131
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,3.5475088078452,4.88883314793054
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,3.4987834407093,4.77169977213245
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,5.04624318672267,6.57893663645944
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,8.51385075159215,10.1853986967371
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,50.2281649442419,52.622957496035
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,94.2154505444353,81.3414731930744
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,182.895491970872,122.371557331885
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,330.237694629435,162.139450997274
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,570.906074734507,199.890949234671
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,428.638335960517,115.096565927662
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,1322.47671452958,303.688536349582
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,2525.93540471374,569.545002050384
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,5010.59943060151,1126.2753550116
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,3478.5358140593,845.552717400625
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,4615.39840437876,1114.7970526116
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,5161.01126130745,1221.32729800878
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,6024.19637395275,1288.9148229122
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,4503.51539790726,1115.83789833188
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,9859.08065103422,3457.25208314366
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,9762.6920333145,6778.14704459802
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,35772.7728780822,24767.8496673132
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,40108.5769104848,27788.7287550421
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,39598.6907801193,27856.6046517625
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,39151.0839094453,27559.1241554399
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,33564.1090721624,7481.21843605098
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,6183.29809850419,2507.90320038216
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,1916.80780090426,530.344230506805
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,2372.92957932636,569.978062835563
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,831.670437489815,293.673577737654
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,171.705578535626,97.6070100516401
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,11.8869549806824,9.89971336337894
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,10.1691491523197,10.7843717616222
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,4.220202463193,4.92423076185899
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,3.79564976009826,4.56977868197013
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,2.20535460675498,2.66672004032278
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,5.30736656914292,6.15263103706355
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,10.5419073444819,11.5467942529178
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,12.8680734180673,12.7370797673376
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,38.8693685632495,32.8734581760304
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,10.0588314825176,7.2481686005751
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,282.160841867204,143.145536523724
