FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,735743.026609186,301528.022045997
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,1398.40355416917,559.668201157385
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,222.763566719158,96.898499825987
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,2445.17024733773,951.641999430959
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,6061.66579482245,2414.00123097341
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,26023.083720305,10780.9519229674
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,315082.559036748,148928.732238123
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,1073037.83416098,530321.208838964
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,3177876.99133735,1822484.84984663
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,3109538.57204733,1669305.29414341
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,3851297.43693802,1873768.39466925
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,178235.861160452,102614.036061494
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,2350.4771829269,1422.91777894656
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,7.2623646989738,7.24126232143532
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,0.00415988553041608,0.00451078712006238
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,0.101473389964132,0.0909318069416516
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,5.85801580013428e-06,2.0732609674973e-05
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,1.78648542441467e-06,7.49352728893763e-06
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,8.86578025078414e-07,4.37719728668597e-06
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,0.0022793018882281,0.0055549864692471
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,258.536784014789,154.14908453464
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,0.0160165451464741,0.0323087982017476
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,0.192608202831979,0.315957974460836
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,0.0168391378699662,0.0339458085928933
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,8.71863516098238e-05,0.000257475605664763
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,0.00321938955338509,0.00423794434948994
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,0.000464923487350973,0.000728311979679889
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,0.311115870354982,0.316027873707259
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,1058.54394051124,470.169419459002
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,7789.69114223804,2722.96335821894
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,98800.4215879438,42508.4684961727
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,15340.0214410538,6511.01408442927
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,10473.4170236854,5347.91779453329
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,1534.05179316978,955.153921625006
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,374.759017366868,319.421642950795
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,12.1282444801039,12.833277160141
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,1.68677482232301,1.97860061828214
