FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,230868.835268186,42911.7248975827
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,1089837.45272792,184370.695916714
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,1579835.14800684,304488.397727829
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1211350.06897331,255169.228889251
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1167079.84090881,260784.738586376
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,858454.177544374,199750.683992751
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,297129.812864222,75636.9665696516
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,226595.854701816,60092.181026829
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,144176.849976428,42768.2840529849
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,181016.747105281,49924.2753085234
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,255950.700055665,59951.0585602356
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,130276.504209152,28898.263972964
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,215554.371480897,38371.3251561096
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,260605.078907396,41357.3047722463
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,1121681.24996588,158213.18711839
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,1457052.39386438,219133.742089687
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,2533442.5648565,446587.435607576
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,2626135.11519634,514291.87493029
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,2056620.30109301,429937.774048803
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,1986127.07128211,428618.620824126
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,1416101.07609206,310088.032917814
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,2181700.68059707,488055.777764798
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,2051191.45569911,453095.526229257
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,2214023.69308598,480002.185242752
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,2065977.06757272,432031.23834311
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,1526796.70973056,295515.50543841
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,1397445.65642788,247392.695087133
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,1153763.84104454,187728.072901607
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,956006.851831907,144113.645536997
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,1025434.09058933,143892.9350085
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,659509.979053595,92655.5383565467
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,644019.261648297,87358.0225511653
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,605910.224303148,80508.3646354291
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,635382.743320311,83722.3172615138
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,367233.103593597,53406.5850671207
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,335428.459564314,49541.6946238111
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,340424.723730234,49498.81971314
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,474625.913786128,63506.3253482797
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,232728.865389503,34382.3277511331
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,127726.573690145,22555.2641237816
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,96320.41001924,20665.0384603073
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,119250.695585915,25350.2349658259
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,123152.31351873,26326.7500090927
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,132334.632413641,29702.9447539367
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,129905.479968051,29105.205365648
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,950820.016089638,125148.251768164
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,174848.908865695,32939.1735181964
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,160445.481889537,26892.9323636493
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,992048.077839077,133083.175476566
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,991457.27050259,147122.543502113
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,995667.251499102,183209.681549013
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,813677.192777918,162566.374003986
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,605334.991406632,122370.613428863
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,665982.64925204,141112.95145932
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,980314.591321615,205838.348820803
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,715876.063324932,157391.321290707
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,1226842.83784929,247574.391199003
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,866419.540953332,180571.474503872
