FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,171746.701274934,32101.6041729321
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,522070.2917496,89480.3236811659
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,860214.586908485,165603.613252997
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,667888.732869451,139137.741747698
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,734173.225808431,161349.85101126
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,531017.748257633,121286.101353701
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,187644.885019284,46653.4791019248
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,137265.432257857,35423.6534299277
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,92877.2108825306,26492.5774388252
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,107467.626329162,28709.8370845929
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,127501.374043273,29485.7622462596
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,50739.9402694253,10679.4175214558
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,18882.6622905239,3354.83669071167
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,29271.8730430235,4735.03365422356
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,203841.767671399,29624.7687124428
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,381688.612740026,58914.6691994363
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,1309262.76055267,234932.73869877
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,1433706.46824341,282266.732864203
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,1186269.18874144,246746.118434885
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,1140173.52169246,243330.540877744
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,794142.394773297,171597.073772483
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1278549.23592745,281859.237263765
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,1224388.82276093,266793.051402045
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,1250300.93405369,267970.021568454
