FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,337427.920949868,83474.4991352639
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,41028.6990881257,11157.4017536426
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,12598.7629208392,5678.77552534289
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,4078.86242876748,2698.52816862726
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,2010.50840962547,1671.73816639581
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,1298.38659990754,1235.51621129762
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,3012.77436771265,3198.98238787956
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,2827.09787474248,3115.18668208051
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,11735.9734080109,12561.3532583152
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,17637.032042849,16421.5062444175
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,16554.3149051856,11972.7492468976
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,504687.877684651,160600.378863251
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,177317.458531402,41215.9554146855
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,58983.0561147264,11664.1427939343
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,37639.2019125501,6755.48448136827
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,46939.1335267635,8953.0236642147
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,67431.0617631648,16084.4474632474
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,24595.9435859399,9263.95760120527
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,4688.57693724342,2736.77092647415
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,1542.72092882255,1128.38259940469
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,783.19487357656,634.074004746734
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1027.22250373769,861.146185688689
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,1013.64159319814,827.957485050066
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,1824.33286294825,1353.03671629491
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,3418.33962550556,2112.57407689206
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,5329.96690489189,2484.46098964588
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,9736.50981884239,3133.78838145968
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,13822.6269554804,3162.97587448086
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,22831.505199757,4449.30379373809
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,30804.6654459923,5616.7275726359
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,35240.529508197,6356.08130592936
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,44844.3718256411,7582.95993400307
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,21793.5209559413,3673.62941572487
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,14174.6943468945,2446.2641960141
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,15988.8785468916,3026.4712891494
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,20037.8345638814,3756.70315185093
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,24475.4994789006,4424.87020451181
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,15431.825457893,2587.8310275563
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,48700.4345768788,9180.64922524764
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,114339.454251484,27007.9740240431
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,231395.630900887,72728.3096777714
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,458604.002313522,141581.669159409
