FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,175.105836656728,56.7418975742921
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,2405.70117763508,679.947885514442
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,6422.47317088376,2261.05388839777
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,8680.301519992,3599.8374001538
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,6813.92266144514,3127.62636543673
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,6314.83015595846,3087.29385207903
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,516.48292431658,288.843514254749
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,317.160290157373,189.238442589756
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,33.5982253458969,23.1948482067188
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,93.0014843532913,57.8708951709415
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,596.553725155978,289.795902926782
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,172.175575098647,86.8897348349014
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,1171.11700594856,368.061729123864
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,10742.9299532594,2535.61665919283
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,10005.0223818123,1991.24723274439
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,2407.47508709619,534.55361982386
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,1046.01402106688,285.226230344686
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,1422.48376398431,479.319602177694
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,978.739334498086,391.599399880442
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,1447.4203795731,630.053206627578
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,3616.86365734447,1637.43303560608
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1594.42295319973,736.788715287688
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,2021.45799304844,920.92723151137
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,1712.81527218735,749.726383749219
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,1168.79869672932,475.966411098363
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,2806.10072092948,1004.70810553398
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,3808.33728297207,1155.98217227052
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,4760.44092343536,1216.2504150242
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,8718.27983706233,1917.49774037899
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,15775.8595240326,3061.98156288457
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,26152.6882589062,5190.79718126072
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,28940.6082183425,5598.40529790801
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,28778.097166232,5644.9075003345
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,31133.747716504,6130.46903674667
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,20306.9201002167,4460.1638893913
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,21658.5229963959,4799.48424732827
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,25937.7946082198,5658.39975565857
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,46337.6418116432,9222.7508337799
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,12951.1649367452,3058.11745708599
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,2425.01776128167,814.074500972259
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,269.165266600441,135.379906654813
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,1683.99719025682,828.797352607534
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,1695.39634397517,836.088643052401
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,64.8065712110729,32.7295751478084
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,53.2171738163041,26.835487617141
