FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,58.8621963354397,60.5980301293935
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,12.88254345102,12.4277853062539
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,20.4541955385136,20.8162596650471
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,73.0978656091195,76.8665257938261
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,108.75221981826,120.774378767838
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,228.544792633377,260.255159541667
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,735.151850568631,938.446460760626
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,1128.73047281108,1605.36391782578
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,1808.82678736028,3478.43165269967
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1724.74561865987,2898.2280058489
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,1069.40441993433,1298.9987651409
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,956.998821675174,1863.80366924584
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,299.091071402848,356.570874907697
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,139.267311969369,133.5803699832
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,5.57612083271939,5.38230374326184
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,2.31294169480278,2.27671191523436
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,0.449633682857505,0.484520579641317
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,1.25407039093191,1.41504053303551
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,2.26661627401932,2.72514447412988
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,3.72141366298414,4.45300360413212
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,42.7034246615514,47.5313388796433
