FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,400.25648981785,163.732475639652
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,4035.43458465526,1860.66888030705
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,3003.62911167357,1885.41554956074
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,2025.86041025999,1565.46096339151
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1435.69681009066,1252.45457580544
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,1004.16307899953,943.359433412563
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,236.688119663239,242.666862800892
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,156.339045744429,165.447783111675
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,72.0210981603729,78.4275402862422
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,128.411418785777,128.412312026696
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,410.325777674311,345.563782357629
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,1905.71076145563,904.244449540377
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,1310.92493288861,451.422427302502
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,2516.2830517483,695.4244816773
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,6670.2760827079,1610.4329288553
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,7171.03185741794,2041.71962755279
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,4658.17335542814,1883.34395650913
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,3765.9829218451,2126.86609063294
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,2643.57030609506,1893.94537245909
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,2006.77833907444,1621.21257741729
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,1690.3917657269,1443.46537671414
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,1765.02230385497,1534.28327739078
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,1700.91945730866,1458.01230793147
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,2060.30796162888,1677.53057215424
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,2734.16601951367,2019.47884733838
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,3696.91546430423,2345.63623314565
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,4229.26315931757,2162.57030879753
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,4730.41772070186,1855.97278295095
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,5188.91366006615,1566.12760855608
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,4825.07119490393,1208.80026935537
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,3391.98165288234,819.503137522829
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,3722.46609113792,894.884271595918
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,3045.04563521026,723.312623082077
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,2860.64444482286,656.534983396458
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,1887.41735780361,449.758825054962
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,1983.53930599273,468.078558839417
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,2469.51386772876,563.862250192683
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,4136.00756204299,839.616428112282
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,3268.22603501728,776.112846223848
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,2190.64088633078,710.166492947073
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,1001.61926262737,469.687282653842
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,1502.89872295205,697.432134780851
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,1669.31984218731,776.453886800254
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,1166.09349712402,553.177614822059
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,1062.09177473497,503.073697768414
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,4704.97773011422,1070.8184952705
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,522.207435076424,199.066332880414
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,1012.83063977411,302.99334890519
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,4562.99047802542,1064.43224432619
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,5539.61359530263,1432.79731067038
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,7831.57105489836,2762.26527391325
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,6109.46953460468,2983.23246470154
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,2751.90387430809,1746.7505631827
