FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,39829583.7124345,7549270.03343805
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,14391225.1211726,2455203.4713373
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,12293524.65625,2390791.14733633
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,6732858.64670065,1435315.97172747
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,7824727.02626844,1774680.10963205
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,5763557.58487838,1364259.31761434
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,12661360.5299375,3278655.39781728
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,8857915.78399926,2396060.48585874
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,40066739.7392049,12271680.1720975
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,24366635.5203741,6894240.67086244
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,4611848.81530902,1093872.68751312
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,14679171.3023017,3421428.38608055
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,6601108.75155733,1203805.46258488
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,872714.658738252,141309.010507619
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,4909154.98973545,707720.445407294
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,12087119.3752183,1845338.23671846
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,31556250.359822,5663393.16019511
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,16574609.848398,3292330.60601909
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,3823776.21705558,809516.147641092
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,2852418.71112146,622920.216952574
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,1194530.27306299,265061.436924872
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,4530544.35633618,1027696.32710019
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,2939659.84966766,658278.79998188
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,5077982.38546605,1115289.46703789
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,5359242.73596841,1132571.29984664
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,3582758.58277968,698605.626253579
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,1674522.32405824,298705.543987377
