FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,172976.041009493,34900.4833503603
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,249277.211935311,46393.251697651
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,218766.588478746,45752.5320020858
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,163107.291839995,37077.7696459929
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,169695.501719007,40916.6938186677
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,133709.351232743,33598.0746928787
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,117822.020050116,32034.316686592
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,75172.5381991945,21207.7604237785
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,124381.018951758,38827.6534300226
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,103235.556846418,29999.4062593051
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,51607.7224682367,12911.2976400678
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,307358.684521507,69126.9760669297
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,157150.803471533,30818.2140237273
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,64836.2666932442,11573.8724714273
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,200353.13006115,32196.1573985073
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,219034.061082503,36981.985859063
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,141111.83111578,27851.2661971329
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,82679.1125193942,17816.8194276222
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,26502.4623564756,6041.30499256236
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,31162.5347770408,7280.44125755309
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,30725.875382556,7276.77297933931
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,47421.6194002588,11492.2682649444
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,36641.7857809496,8776.2282858406
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,51281.1048535471,12060.1969005344
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,48720.9665092456,11026.5344710046
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,77400.4481815256,16142.0759200606
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,41515.384743245,8015.28911192655
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,21331.2182686775,3840.97476815264
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,20576.1414829972,3509.94493246839
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,22481.0098871977,3649.41543735339
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,19046.608204356,3087.3675580373
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,56056.0059814028,8780.0462998967
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,30407.8480421971,4676.19393181202
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,29613.8291377493,4512.12822031562
