FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,746.69404660308,410.185611039196
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,2652.79031875797,1078.24111220851
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,2498.57886630468,1304.21394402468
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,1961.27157011965,1239.60443583908
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,1565.32098342724,1107.15462354262
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,639.739314813747,488.449968160378
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,73.1432038211432,64.2847312106084
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,146.95416377688,149.41124828933
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,3482.28756131782,5434.46002020754
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1647.65721319711,2099.14721080244
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,131.266365515514,99.5392085800073
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,4026.46718294079,6068.12531499094
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,135.631544633803,91.0397931535768
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,296.614798230383,138.449821257128
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,2701.44241738675,948.410407736827
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,854.144047872187,324.694646245261
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,5793.15421479721,2335.79158873604
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,5398.97100582421,2637.65406084349
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,2078.40255756357,1236.70829356477
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,351.309517855805,234.669913209374
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,261.955144576193,183.85204761142
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,273.901381787545,195.843397203535
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,260.26474165116,182.919404374965
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,361.094585405751,242.024382235493
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,524.228107494373,325.450463898764
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,289.339604839012,164.043030640469
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,530.7626192153,253.733399808999
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,625.402607035762,250.894065337284
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,2057.17564277144,701.728177057147
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,5645.95716693672,1740.06355529367
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,8185.27588480679,2985.79030810994
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,3307.10105882096,1211.90106379062
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,1886.59782578663,721.073879301591
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,1003.90809312761,391.841092141783
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,118.867317719054,56.0507330230454
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,59.5466467365414,28.6046379771021
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,58.8793813256308,27.7148833731733
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,269.817822780143,112.200061346553
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,26.5507415415282,13.6530809470423
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,58.5002259049653,44.6928116652768
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,3196.31855227601,4808.53633550291
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,26787.499172138,40105.6317572205
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,28465.8650379998,42659.7077066125
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,3954.80878723552,5947.31413861163
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,3956.68490825752,5946.22118112084
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,780.503584987516,295.578866071689
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,648.333667520723,551.526451293277
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,218.39911598622,118.084551548949
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,10388.167527303,3556.75471475186
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,15002.8866960216,5230.64536914875
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,161.578159569395,104.194394448508
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,15.6638231644264,14.1131761812716
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,53.178219279177,38.93940561456
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,27.2589484732132,23.3226518688428
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,767.21417578625,484.855066125307
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,9.77875025277933,9.31548940464818
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,2594.37654636543,1523.29052152996
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,117.923659869141,87.2850641547028
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,45.3663881318152,36.2195422481677
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,148.298456140215,88.0988852390113
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,21.0669130807773,16.5512251452197
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,712.005337706772,374.135571232801
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,1258.84999800695,607.686037411792
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,229.41728437065,144.702082599547
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,1090.69704416614,578.002310354237
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,4325.45099954695,1908.69005421155
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,5332.31530869855,2102.99392357152
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,502.333984849035,177.208023898103
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,180.333953220022,64.3248260835867
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,174.006593050382,61.3057119552989
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,181.913248450417,63.8003630203815
84,-97.58,24.44,-25,-25,1,25,123.21,0.368487,22.5919,3.919675,347.846053104488,127.977521821164
85,-97.58,24.54,-22,-22,1,22,123.21,0.390348,22.4864,3.86228,524.954378799946,206.968681873344
86,-97.58,24.64,-21,-21,1,21,123.21,0.453906,22.2592,3.79972,530.299370604076,213.222349301128
87,-97.58,24.74,-12,-12,1,12,123.21,0.716313,22.01655,3.73624,32.8339737139324,16.7483069386521
88,-97.58,24.84,-16,-16,1,16,123.21,0.905255,21.7946,3.67478,108.192664449443,48.106002365764
