FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,5985.37960575873,1472.57846074669
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,112194.641422542,25087.7643056755
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,104201.258234339,30678.5715154412
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,57995.5267444998,22346.5997753148
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,47022.2733254331,21926.9241218454
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,25131.0678285957,13229.4706194648
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,1719.33244240085,1026.75852756846
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,830.956061863983,519.675011264584
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,203.072740220392,130.021422979426
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,489.178650978127,274.282740057355
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,2886.8394159147,1252.55179488697
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,261.203197234211,84.2061114850104
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,2227.09978527747,502.96663229264
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,8215.52611073905,1503.35916806404
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,92348.0525472179,15123.9862444216
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,138022.434040095,25014.5631217764
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,283935.459821363,62095.8518774837
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,250658.880133904,67953.6521728998
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,182450.494246045,64483.1870520303
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,124002.815248061,51984.2855706206
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,80938.3225718441,36791.5668868096
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,111425.516271806,52556.7692486433
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,110592.548790737,50930.4317633053
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,127100.577748758,53966.0642340671
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,143219.881172867,52500.9347582102
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,111558.463779742,33083.9106653663
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,129971.838926667,31310.8207534648
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,132515.260466712,27469.1729313182
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,118500.807910276,22226.1761446305
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,117694.720536681,19972.2460236414
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,59890.4635635519,9712.97567783558
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,35601.7274736588,5484.91697831178
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,34465.100881825,5318.59529241579
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,34262.4768430886,5319.58197164694
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,14343.2516726441,2387.66920829391
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,10962.1973104875,1810.13178421205
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,11326.790373728,1816.83695677827
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,26426.7317451586,3890.79600923642
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,5881.85204019636,1010.37438757068
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,1425.9368978733,323.820093896476
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,211.889571933751,66.8557984702787
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,181.832729257568,57.2293496674322
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,186.296230744736,58.8812381236688
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,357.076426000339,115.346960197742
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,365.861437310395,117.979812483886
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,41994.8196992746,6425.10303056548
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,1398.4397625641,353.131805960715
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,4619.85668032284,913.084626822016
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,150030.939595117,22887.7652318867
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,223313.492816474,39364.9740887286
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,362211.801459152,79227.8269397007
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,371048.824729399,93335.917276534
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,256057.042965442,77471.875861805
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,267737.76092702,92626.3052525142
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,119764.239316424,43224.5831812388
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,265477.542098545,97951.3957080264
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,140786.436406763,48195.0129687354
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,259893.612858558,83306.275333928
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,312037.194749539,88011.574518489
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,246683.308431367,60389.4387383836
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,311627.278374469,68661.2191332218
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,311303.368793045,62232.7951447099
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,264735.750258308,49504.4282818625
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,314826.325023464,58470.0823136549
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,277331.42613232,48773.494193866
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,209724.078695883,35016.0354855457
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,156664.044410444,24534.0927203142
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,106342.904443044,15245.0850336403
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,88231.45017413,11911.0701786726
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,75875.0799850994,9846.35244281363
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,80849.5694175012,10171.9001483428
84,-97.58,24.44,-25,-25,1,25,123.21,0.368487,22.5919,3.919675,65193.5958974243,8698.20380791047
85,-97.58,24.54,-22,-22,1,22,123.21,0.390348,22.4864,3.86228,49138.9239534825,6862.52843439172
86,-97.58,24.64,-21,-21,1,21,123.21,0.453906,22.2592,3.79972,41629.522212266,5771.07429762037
87,-97.58,24.74,-12,-12,1,12,123.21,0.716313,22.01655,3.73624,6723.3684840729,1096.73955594354
88,-97.58,24.84,-16,-16,1,16,123.21,0.905255,21.7946,3.67478,14555.7029435677,2097.41322941178
89,-97.58,24.94,0,0,1,0,123.21,0.787787,21.6817,3.614155,164.12358022967,54.6567361372017
96,-97.58,27.04,0,0,2,0,123.21,0.574977,26.7454,3.5183,177.181626523648,55.4681499174868
97,-97.58,27.14,0,0,1,0,123.21,0.636355,26.7045,3.53237,214.79399757682,67.9623951224966
100,-97.58,27.44,0,0,1,0,123.21,2.12332,26.2195,3.761975,376.803238683632,121.682920551936
101,-97.58,27.54,0,0,1,0,123.21,2.22893,26.2022,3.74792,377.104966317072,121.461309427434
102,-97.58,27.64,0,0,1,0,123.21,2.3422,26.1869,3.77661,400.540925544364,129.135574659895
107,-97.48,21.74,-19,-19,1,19,123.21,0.665486,25.0065,4.072735,36644.931715193,5301.87204937921
