FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,405.482697961068,178.378112313423
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,296.73274899976,120.023360261655
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,515.532307844134,246.166562600399
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,602.736144558646,333.984802801153
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,476.3147034204,291.238357433999
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,579.438377361093,376.5495032037
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,1696.78873310704,1202.58667651784
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,2592.80092998786,1909.74281044253
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,3977.70182706621,3163.74685032991
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,2978.29687024249,2191.81517837827
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,1591.89718665228,995.988616858261
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,7566.75543903194,4118.3968633494
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,1945.12793860932,796.826010772956
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,1984.29258053838,694.025797278967
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,776.159632555066,223.227073321124
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,478.13519295542,149.175766844704
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,646.344722597342,250.349206201922
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,902.804260115622,416.630707750205
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,992.784424488806,525.118018702374
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,683.391341045629,391.16321690259
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,449.596327245488,269.145820805115
