FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,29527.0755656568,6968.71920580613
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,297221.891413283,65158.0677604868
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,236079.368436031,67917.8585319071
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,129294.248213943,49066.4497833189
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,101653.749971226,47030.5589263487
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,51837.1077727609,27193.8103127918
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,3409.37646565984,2023.41816258327
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,1524.38729623378,945.082741573083
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,377.288507736152,236.139039524079
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,880.566134381086,481.65424010068
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,5205.01772584698,2208.21474134166
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,656.217828313743,187.903925626068
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,2311.74933690344,490.541933046866
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,11047.0004837185,1964.17966109136
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,111785.090661733,18353.2068906998
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,179247.126935659,32620.3673358773
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,225672.279132417,48907.4651538848
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,147248.102202122,39204.1019573009
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,86245.7528903394,30038.7338744819
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,81128.0765523262,33677.2101527344
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,101782.574704704,45875.0727200972
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,73570.046094679,34510.6896765788
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,84413.0851033208,38607.4670056154
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,86650.853175543,36460.9817168312
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,83108.3761126598,30069.2260915058
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,109880.406909826,31945.7829652281
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,126826.854298036,29949.7783851507
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,174496.123509515,35771.6807887146
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,199942.939083617,37425.1998740633
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,193463.686483748,32772.0126072033
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,122726.634242013,19715.561247016
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,47110.5600173045,7138.39794365922
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,47421.5531151913,7193.35545447969
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,46520.6005166663,7138.82006700856
