FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,35230.0576601849,7836.85481103426
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,128853.061151294,27217.4574544568
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,43744.2161077167,10768.279755999
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,22504.9725240623,6177.1670947415
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,24569.1356437779,7242.01278623767
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,15730.8484592749,4864.7591712761
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,11038.3685326347,3708.48362719385
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,6282.30134459415,2192.31951750797
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,13748.5528874007,5266.88754861445
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,12143.1489370392,4305.29360454575
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,8173.90300946601,2450.3353041895
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,148889.504511258,38259.9620093392
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,75131.5584875542,16136.8662195221
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,21732.7641413745,4190.53092558264
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,150418.5381085,26394.2888860593
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,226288.466675768,42524.9100965402
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,81603.4774332916,17704.5953072327
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,34319.9535089413,8440.53773401342
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,13259.1918663972,3598.87794794124
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,16874.8272213721,4809.88392916667
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,12927.5878625464,3766.53180938424
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,23996.7387601003,7129.29307204137
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,17234.5107738673,5059.08054418558
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,25952.8054218457,7418.8783093365
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,30323.2596913946,8274.7530434171
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,50956.4431304884,12644.7125952768
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,26341.1696208523,5890.47535691968
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,14027.8303866939,2870.14370967052
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,11076.9165936987,2095.55141989214
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,9015.06269463418,1587.31353154542
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,4578.45205853073,804.958792649519
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,14792.4604124769,2523.47535250381
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,10286.359847887,1742.74524007266
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,11734.5513355275,1983.23865238912
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,8305.7554915639,1508.10245189712
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,12681.561926261,2296.38191797217
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,18254.0083324943,3220.44313854349
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,17464.1980753245,2838.91931235509
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,27133.8410256493,4664.92132646767
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,30267.1164218604,6086.16304250223
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,11908.6430536344,2922.32979727496
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,10504.9575075311,2563.79764981962
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,13294.7760749863,3268.12714512515
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,272805.220916915,71210.9862378448
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,283529.643809169,73844.8114667713
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,100393.284451515,16834.4042862575
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,7764.9052386416,1740.33450149206
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,3608.12902694757,730.071833632968
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,7334.88017342966,1270.26143982703
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,4107.89510094537,783.928570541533
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,3127.41086553716,728.96310164492
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,2613.96040221313,669.937169624459
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,907.522612419811,239.840687365773
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,594.158366062908,165.87487322127
