FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,6327.42651712345,1270.34771386988
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,54403.7942702317,9660.7202476598
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,48372.4587489519,9704.37711782462
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,42874.5546516319,9375.67504311274
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,41836.613287931,9690.78750315458
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,35670.6272693219,8603.47324971666
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,11942.9502054701,3213.81850685312
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,10086.775545191,2849.01528680018
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,5060.16951186333,1621.2732932722
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,7819.86814120181,2327.85505823861
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,20822.0865316485,5232.65969957908
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,15454.0885504904,3822.62613057803
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,27199.791292247,5197.66598010405
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,34933.1411872942,5782.03149763912
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,73212.3270277159,10612.0797054541
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,99517.5730453712,15438.6943998043
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,123377.900980709,22553.7400240736
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,158528.491416372,32260.1129563896
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,234895.422606058,51147.6145950667
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,193578.046037016,43566.0289074971
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,131403.909936985,30044.9040195703
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,174490.255186458,40668.1301611817
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,169145.782412354,38965.5762483486
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,172912.098315383,39096.8745704851
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,197565.332504912,43090.2449970352
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,129438.462707181,26247.2760674126
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,138554.263508747,25783.5781706266
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,146918.55126191,24982.9905515029
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,128151.653018169,20086.8919515802
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,115162.86999107,16711.7272826764
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,73249.8361441438,10558.2697700982
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,70619.6909518367,9802.33922922814
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,90040.557412444,12180.6974599085
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,109015.396166817,14591.064847745
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,81589.0542770781,12131.7644959643
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,74617.3551492458,11330.7299551533
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,73778.797865493,11053.3937086602
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,105260.875122523,14327.9087654706
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,56298.3465432858,8797.26905834267
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,32317.9061409898,6244.70562592279
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,12344.8607520039,2988.15835334306
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,21305.7594231304,5078.86697710143
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,22747.5153989015,5444.33634903269
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,12450.4521085562,3096.34405168942
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,11387.5612338757,2826.03354053972
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,115338.595914151,15409.1390427168
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,25191.6487293709,5185.24706456565
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,25627.6265776936,4520.46757833755
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,151467.992233836,20520.1064820941
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,216868.078511288,32836.9262768057
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,443642.951671012,83279.5441511815
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,424492.188982821,87422.2235588219
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,180125.916267238,37734.754007704
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,218913.418349619,47998.0755248611
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,101487.877082311,22341.4189607544
