FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,364.681143048157,499.036879728136
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,30.9496751165533,40.2835381544075
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,26.4647859722077,33.0964222764991
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,21.6411932401003,26.3093306889784
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,28.7874529422525,34.3684996413902
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,28.7683127683316,34.2243371665568
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,374.494648396432,448.646883308041
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,553.260232204051,668.736032178454
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,6411.13190922513,8108.49611666204
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,1765.98072674014,2214.802135156
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,125.596931599734,156.93111963474
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,40761.5302809336,28029.411579561
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,6.20487936448779,9.68724632627899
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,0.733652010078432,1.13420577984103
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,2.05406329142248,3.01091536465827
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,12.2174686795526,17.0742655109147
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,26.1512441396731,34.9735483768133
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,19.6764091547204,25.3887217774345
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,14.7785015439661,18.5845307685945
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,21.3643486462908,26.0406633143366
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,14.9489683579369,18.1087143531129
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,28.7061496875777,34.4911638766554
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,22.7396497984987,27.357586728757
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,26.2620981390587,31.8257576244653
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,24.3957291241639,30.1756932029839
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,17.3023768923268,21.8240623564653
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,7.76386855070777,10.0801490208149
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,3.84598148791174,5.19122106909416
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,1.65598504400533,2.31742702313687
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,0.790891368568957,1.135670966092
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,0.351517660242761,0.522747658629699
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,0.298118984312574,0.453919296406358
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,0.15207717868276,0.236601591514457
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,0.114489437483133,0.178213378694587
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,0.168254192188929,0.25762097746115
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,0.287298953664089,0.416228166825403
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,0.535931262922223,0.710325879113908
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,0.676830360685756,0.78601813031356
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,7.07894721353957,7.13489438131691
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,103.936329106345,91.662633186779
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,13530.8087576067,9315.60636931193
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,14028.6974380198,9487.71361230791
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,15317.1038601158,10391.9019199485
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,49418.4076072014,37266.3443121506
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,62258.0238602467,46741.1611374367
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,0.247681888445905,0.381319263474546
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,2.97379247568203,4.69823386885848
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,0.480105933251841,0.760583444904149
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,0.24554481652713,0.36847797801615
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,0.369896204126603,0.543698954483544
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,0.636769515190782,0.970752261622353
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,0.51667317186696,0.889163315695522
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,0.882026606968712,1.24254366161607
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,0.842323385020004,1.21014750172667
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,6.10548590249794,7.75805294804031
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,0.937596227626501,1.41706058204687
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,6.48262026533873,8.18816890768242
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,1.34163729243175,1.87478038463062
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,0.723873533390802,1.06005521179967
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,0.801397138201134,1.14401655547665
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,0.164167329276446,0.309903834182252
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,0.27632766558877,0.411191978822693
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,0.256567780430837,0.390628184379137
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,0.144185417975403,0.232531884249266
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,0.102620901580842,0.164370762911983
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,0.0999603986900304,0.157718780122405
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,0.12408394684652,0.191303906479969
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,0.188096328649747,0.281313184533752
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,0.22264619898993,0.318740186851603
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,0.262974646270525,0.352380609157055
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,0.520510099814907,0.624051036328412
84,-97.58,24.44,-25,-25,1,25,123.21,0.368487,22.5919,3.919675,1.00660830422022,1.06193773156499
85,-97.58,24.54,-22,-22,1,22,123.21,0.390348,22.4864,3.86228,2.51078702146571,2.25589200005834
86,-97.58,24.64,-21,-21,1,21,123.21,0.453906,22.2592,3.79972,7.64036451522182,5.68953121295579
87,-97.58,24.74,-12,-12,1,12,123.21,0.716313,22.01655,3.73624,63.4223520891994,43.8066947081072
88,-97.58,24.84,-16,-16,1,16,123.21,0.905255,21.7946,3.67478,70.4640198184125,42.9314815958541
89,-97.58,24.94,0,0,1,0,123.21,0.787787,21.6817,3.614155,9999.69128665915,8255.16593416133
96,-97.58,27.04,0,0,2,0,123.21,0.574977,26.7454,3.5183,12260.2479390131,8314.49481025145
97,-97.58,27.14,0,0,1,0,123.21,0.636355,26.7045,3.53237,14629.4717818527,10069.4116612131
100,-97.58,27.44,0,0,1,0,123.21,2.12332,26.2195,3.761975,47931.3366872601,37169.8674875815
101,-97.58,27.54,0,0,1,0,123.21,2.22893,26.2022,3.74792,69510.3325425732,52484.0435483301
102,-97.58,27.64,0,0,1,0,123.21,2.3422,26.1869,3.77661,52478.8172681154,41657.2455555495
107,-97.48,21.74,-19,-19,1,19,123.21,0.665486,25.0065,4.072735,0.178678635441524,0.255457195200739
108,-97.48,21.84,-35,-35,1,35,123.21,0.477751,24.77765,4.127115,0.211889764208274,0.310317105306279
109,-97.48,21.94,-41,-41,1,41,123.21,0.380197,24.5592,4.18461,0.118676790491518,0.18185915300441
110,-97.48,22.04,-56,-56,1,56,123.21,0.279898,21.9676,4.24558,0.0110732132404059,0.020489969996553
111,-97.48,22.14,-12,-12,1,12,123.21,0.219974,20.28825,4.31028,0.301861915694315,0.510283952536081
