FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,106.855569656447,50.5181427335217
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,246.16918480592,93.1819078762078
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,171.427436456507,79.2785975887811
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,260.285951102695,140.96591656816
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,322.884698222137,193.255272498067
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,481.46682535547,307.178717212268
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,78.7059509002189,58.2247827828916
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,38.6921119806168,32.0494658912218
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,3.66291424405282,4.13447776845938
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,10.624914519907,10.2800478507324
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,118.666853754636,76.792581509769
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,29.8257284375111,29.812357618026
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,437.8073188398,211.688705436655
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,3759.62012128981,1238.31993989944
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,953.033894639192,266.708758908919
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,360.154999026101,109.19278848874
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,245.933791135117,90.1313237554639
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,234.089444558598,103.929372219358
