FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,63956.3974405718,11490.1914662265
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,174932.927268176,29298.3679986006
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,190107.252913713,35899.0307706701
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,193113.12684495,40046.2211217555
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,185709.741926874,40995.7266083132
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,172307.106442234,39663.8128256831
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,85653.937762416,21350.0908430968
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,75493.8439972041,19601.6147357301
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,45229.2745355805,13132.371273003
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,56210.7610202927,15158.0846933968
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,93068.551117996,21519.1418942174
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,86510.7257852608,18491.357308171
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,138524.299810252,23393.3406270613
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,179767.876796,27237.8120377958
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,214417.80135406,28496.0311929537
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,191284.266834328,27380.7731785564
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,135746.380369536,23329.59403353
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,138878.444702483,26619.3771384047
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,141452.174416714,29240.4163062571
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,166597.846750163,35610.207142093
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,212436.553627497,46200.5240972644
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,171231.209137842,38010.9853177159
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,181594.290527188,39874.1688899915
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,170970.238696892,36784.6626772354
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,155034.544984687,31962.7428608205
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,178534.810562077,33770.3396452085
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,179800.417811908,31106.2656479212
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,210169.287720715,33109.299127986
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,248196.549211861,36271.322692062
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,272178.723287455,37159.5058865165
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,276199.87983458,37417.9575602842
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,282478.91517208,36722.5045943826
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,340350.626143028,43216.5812467496
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,405174.685245189,50211.4164860289
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,378627.604505558,51479.4724488768
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,381288.037920083,52766.1491689779
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,395076.969693478,54220.5596911338
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,494132.546377986,62231.2298217057
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,316174.180322967,44796.4959960253
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,195764.304445853,33466.0498841677
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,79889.1615114349,16696.7772055649
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,80651.0553570001,16666.4324815234
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,82974.2276713752,17220.7394193285
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,91993.2980201165,19946.5187831029
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,88630.9853206516,19200.2446415617
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,399018.514014732,46905.4169146723
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,146218.00969357,26619.9171828412
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,168854.008945168,27377.9425215931
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,151223.459985765,19524.6531162425
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,126037.985491177,18391.6835548588
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,122485.448629585,21601.0116605653
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,115003.092818734,22183.4775186408
