FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,1.57291675323244e-10,9.60900377783071e-10
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,99.2052867627736,99.4539983905012
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,2620.58243344373,3226.4239538439
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,3594.56909030994,5498.85090352881
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,5746.83631983588,10261.3232891753
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,2456.30671860407,4758.04207959614
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,6.35382634786027,17.8457990363537
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,1.49559017991828,4.8055699677466
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,0.0344204099377243,0.143668627288662
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,0.0804777622917423,0.296494577825192
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,1.02234102098806,2.60603967696444
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,2.32727852744777e-05,9.3288936843841e-05
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,0.00113459330044829,0.00261409706151701
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,0.0275848056577014,0.0355531852385856
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,28.985502926051,15.7723267606701
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,93.5194614888707,60.778139621666
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,1593.31969901758,1292.85630874626
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,12111.2476375821,12827.0765307352
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,34376.0835804838,48459.6222836817
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,56470.4950991689,93162.1060297227
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,29302.6615718607,51907.7862126773
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,94114.3959978425,170720.706277322
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,74135.5784368704,132284.132339858
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,61208.5447502915,102110.021213672
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,34626.7503918172,50804.445410045
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,5858.15438710509,7148.75411121494
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,1967.30230312216,1834.96261795146
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,640.522343202351,430.20040161256
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,137.923222124323,68.3427877495101
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,56.4002265614451,24.2901486457705
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,6.92038151777238,3.66408237047339
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,0.831803520923557,0.553993651912328
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,1.63800565082356,0.993764740743117
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,3.18291538648264,1.73527797867361
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,0.702696932012289,0.604965555184297
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,0.398684084294207,0.390113836416698
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,0.517074834993659,0.500183279986843
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,7.81914321656073,4.32356652200707
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,0.126650576524348,0.183874962736131
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,0.00391372482930544,0.00998513330766419
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,1.63237660614033e-05,6.63418593526894e-05
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,0.000390213668606652,0.0015828932864904
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,0.000390074319135821,0.00158205879430447
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,1.78139862474841e-05,6.9035045047146e-05
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,8.81092086166751e-06,3.40740953995543e-05
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,6.62453551506147,3.34920708241103
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,0.000391425870442939,0.00111363287098783
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,0.0193001863290151,0.0325011961591828
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,162.461455116653,64.5954819059333
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,187.379439035269,80.0499169641114
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,243.591214832074,142.286700026446
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,409.186616332388,361.086820162875
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,13443.2786603406,16262.4355409429
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,18013.8260914066,25134.2802288477
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,187225.87904852,274267.778927976
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,13888.0736503984,20461.5782483516
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,41511.5170060837,57872.7199541814
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,6271.73129581007,8056.84721972789
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,3406.12235335492,3780.31380267837
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,4452.61753543684,3924.97914157152
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,561.87535640051,392.055969580095
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,358.161298934162,185.12605344243
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,126.414702062883,55.4027913918448
