FID,POINT_X,POINT_Y,Depth,NODC_Depth,DomSeds_txt,NewDepth,areaswept,New_Chl,NewTemp,NewOxy,fit,se.fit
1,-97.78,22.24,-7,-7,1,7,123.21,3.15108,25.90905,4.48825,30597.4255452158,7580.9907194578
2,-97.78,22.34,-22,-22,1,22,123.21,1.97892,25.21785,4.5494,36269.8365205245,7922.76892101372
3,-97.78,22.44,-24,-24,1,24,123.21,1.60068,26.97215,4.60184,12756.5531025314,3068.03052083699
4,-97.78,22.54,-21,-21,1,21,123.21,1.38559,27.0352,4.641545,8704.14853420583,2195.9823120887
5,-97.78,22.64,-20,-20,1,20,123.21,1.47849,26.65055,4.66696,10441.734084577,2752.02213517582
6,-97.78,22.74,-17,-17,1,17,123.21,1.35038,26.59115,4.682675,6278.89694735952,1719.76217192288
7,-97.78,22.84,-7,-7,1,7,123.21,1.37156,26.9703,4.695205,3953.36047285356,1186.26605879635
8,-97.78,22.94,-5,-5,1,5,123.21,1.13445,27.21455,4.699255,3151.3764837487,995.862059209882
9,-97.78,23.04,0,0,1,0,123.21,1.48653,27.2223,4.69327,15320.8646814639,5720.1103711578
10,-97.78,23.14,-2,-2,1,2,123.21,1.3424,26.74295,4.676695,8390.03257545138,2861.39309911146
11,-97.78,23.24,-7,-7,1,7,123.21,0.986061,25.77585,4.64958,2387.12156976356,676.598836434958
13,-97.78,27.34,0,0,1,0,123.21,1.3787,26.3863,3.62516,33959.0473666225,10372.1999060949
15,-97.68,21.94,-7,-7,1,7,123.21,1.39095,24.61365,4.274445,6349.4704812255,1642.96026690836
16,-97.68,22.04,-12,-12,1,12,123.21,0.95157,23.05455,4.328775,1074.18915946081,256.311429526134
17,-97.68,22.14,-26,-26,1,26,123.21,1.5777,22.90825,4.391365,7976.36297484282,1691.47240633381
18,-97.68,22.24,-28,-28,1,28,123.21,1.78661,24.3256,4.457295,19405.3671008067,4214.4151425181
19,-97.68,22.34,-36,-36,1,36,123.21,1.79504,25.9333,4.522515,7784.98578561142,1919.0089958749
20,-97.68,22.44,-37,-37,1,37,123.21,1.39374,26.03375,4.581865,3778.72206844865,991.368996611762
21,-97.68,22.54,-38,-38,1,38,123.21,0.943481,25.1341,4.627665,1858.57979419587,508.011147376007
22,-97.68,22.64,-34,-34,1,34,123.21,0.910182,24.89715,4.65203,2223.32999732957,594.341497592006
23,-97.68,22.74,-27,-27,1,27,123.21,0.785301,24.84925,4.66353,3331.79366904912,883.580618777569
24,-97.68,22.84,-33,-33,1,33,123.21,1.05519,25.09875,4.667395,3401.2689265274,925.052077902829
25,-97.68,22.94,-32,-32,1,32,123.21,0.92394,25.14845,4.664525,2719.18106823531,730.560294048256
26,-97.68,23.04,-33,-33,1,33,123.21,1.07693,25.19015,4.65367,3496.63665472508,929.749319342933
27,-97.68,23.14,-35,-35,1,35,123.21,1.11202,24.79915,4.63372,3287.63693184389,864.737096185654
28,-97.68,23.24,-30,-30,1,30,123.21,1.18172,23.72705,4.60424,4289.36164730583,1047.11854051608
29,-97.68,23.34,-31,-31,1,31,123.21,0.918609,23.458,4.56586,1756.64112265591,409.22628021933
30,-97.68,23.44,-29,-29,1,29,123.21,0.637997,23.98655,4.52054,1392.45725718484,318.910294301808
31,-97.68,23.54,-25,-25,1,25,123.21,0.564117,24.74535,4.47155,1967.00397932449,434.610302190624
32,-97.68,23.64,-24,-24,1,24,123.21,0.559306,25.45865,4.42264,1821.30128664176,385.397996585391
33,-97.68,23.74,-19,-19,1,19,123.21,0.486702,25.8928,4.37136,1083.28255327217,237.422405452073
34,-97.68,23.84,-17,-17,1,17,123.21,0.819897,25.72125,4.315705,2306.26506440544,479.245224615843
35,-97.68,23.94,-18,-18,1,18,123.21,0.619928,25.2136,4.255295,1781.98735332906,384.825628177888
36,-97.68,24.04,-19,-19,1,19,123.21,0.598924,24.8286,4.19141,1989.26656523986,445.79492980844
37,-97.68,24.14,-15,-15,1,15,123.21,0.529777,24.2529,4.12705,988.782995889134,249.872590063805
38,-97.68,24.24,-14,-14,1,14,123.21,0.655812,23.7037,4.067895,1033.53228182635,263.736400631062
39,-97.68,24.34,-14,-14,1,14,123.21,0.751729,23.3056,4.010435,1154.44443459227,287.31043272375
40,-97.68,24.44,-18,-18,1,18,123.21,0.646786,23.0432,3.952835,1340.86340118539,308.309477771549
41,-97.68,24.54,-11,-11,1,11,123.21,0.805862,22.8005,3.893075,1028.57387628886,240.984238370266
42,-97.68,24.64,-6,-6,1,6,123.21,0.778602,22.46985,3.82883,1299.13155581247,336.621258307303
49,-97.68,27.04,0,0,1,0,123.21,0.59275,26.7288,3.518725,4894.05732728842,1467.3450007137
50,-97.68,27.14,0,0,2,0,123.21,0.675389,26.6777,3.538475,3835.16512604461,1142.30159182166
51,-97.68,27.24,0,0,2,0,123.21,0.727297,26.6463,3.55818,4451.16389158718,1330.37810926337
53,-97.68,27.44,0,0,1,0,123.21,1.98882,26.2391,3.74348,77353.4919186481,24292.7470911108
54,-97.68,27.54,0,0,1,0,123.21,2.11314,26.2157,3.7427,89982.170177829,28198.2414968099
58,-97.58,21.84,-22,-22,1,22,123.21,1.25166,23.9218,4.17676,9168.02999077647,2029.52037439186
59,-97.58,21.94,-5,-5,1,5,123.21,0.664051,25.54355,4.231965,1386.46975056716,389.152657226728
60,-97.58,22.04,-10,-10,1,10,123.21,0.44248,22.6926,4.2903,220.194631576209,59.1697834792852
61,-97.58,22.14,-40,-40,1,40,123.21,0.62508,21.8016,4.353865,298.909426485926,69.7057414468216
62,-97.58,22.24,-44,-44,1,44,123.21,0.647887,22.56325,4.42094,303.98737797141,75.2546069478782
63,-97.58,22.34,-50,-50,1,50,123.21,0.668941,24.45535,4.48843,760.253337643314,226.944696732723
64,-97.58,22.44,-57,-57,1,57,123.21,0.710056,23.52315,4.551755,437.065603759001,154.658892450435
65,-97.58,22.54,-50,-50,1,50,123.21,0.454454,21.51475,4.603325,208.678613091498,64.0545351558969
66,-97.58,22.64,-52,-52,1,52,123.21,0.425583,22.1257,4.624295,151.911200802695,49.737476335492
67,-97.58,22.74,-34,-34,1,34,123.21,0.261464,22.3974,4.63233,140.299599565623,41.0847648537617
68,-97.58,22.84,-54,-54,1,54,123.21,0.431026,22.9389,4.63231,172.599776681441,60.2635267292927
69,-97.58,22.94,-38,-38,1,38,123.21,0.559644,22.81115,4.625575,293.301588392066,79.8781445814911
70,-97.58,23.04,-50,-50,1,50,123.21,0.633473,22.83545,4.61156,323.019182630483,98.3864576135852
71,-97.58,23.14,-52,-52,1,52,123.21,0.535259,22.534,4.5893,209.587218939543,66.2295166155644
72,-97.58,23.24,-48,-48,1,48,123.21,0.50098,21.1474,4.55825,295.873957636108,85.6165862527322
73,-97.58,23.34,-60,-60,1,60,123.21,0.530187,20.85775,4.51879,216.059284786336,75.4615599623759
74,-97.58,23.44,-49,-49,1,49,123.21,0.525581,22.1154,4.47254,204.612989903684,56.1553710923527
75,-97.58,23.54,-48,-48,1,48,123.21,0.543473,23.20995,4.422555,296.747733822428,80.4300261336154
76,-97.58,23.64,-50,-50,1,50,123.21,0.393722,24.74295,4.375515,358.649436784615,107.226679814494
77,-97.58,23.74,-48,-48,1,48,123.21,0.313205,25.05205,4.32606,291.058604959456,83.8215664494353
78,-97.58,23.84,-45,-45,1,45,123.21,0.363553,24.99755,4.27241,348.145301650862,94.2079916039197
79,-97.58,23.94,-41,-41,1,41,123.21,0.375376,24.9451,4.214505,371.543275947151,94.5249566695881
80,-97.58,24.04,-35,-35,1,35,123.21,0.36775,24.56285,4.15365,454.160237988445,104.45671285513
81,-97.58,24.14,-33,-33,1,33,123.21,0.332601,23.84355,4.092305,395.885210818721,91.4783683035362
82,-97.58,24.24,-29,-29,1,29,123.21,0.342274,23.1358,4.033215,448.200861346241,103.075835690099
83,-97.58,24.34,-29,-29,1,29,123.21,0.356576,22.747,3.976065,429.262814120827,94.9761365941974
84,-97.58,24.44,-25,-25,1,25,123.21,0.368487,22.5919,3.919675,673.537813091815,147.242741980432
85,-97.58,24.54,-22,-22,1,22,123.21,0.390348,22.4864,3.86228,840.910243399208,180.694043578818
86,-97.58,24.64,-21,-21,1,21,123.21,0.453906,22.2592,3.79972,1093.98564670699,224.885394360883
87,-97.58,24.74,-12,-12,1,12,123.21,0.716313,22.01655,3.73624,1080.28999970209,238.214899386161
88,-97.58,24.84,-16,-16,1,16,123.21,0.905255,21.7946,3.67478,3113.1268138861,623.822548900007
89,-97.58,24.94,0,0,1,0,123.21,0.787787,21.6817,3.614155,5858.65680284361,2016.01349849697
96,-97.58,27.04,0,0,2,0,123.21,0.574977,26.7454,3.5183,2849.37794471625,851.056232929147
97,-97.58,27.14,0,0,1,0,123.21,0.636355,26.7045,3.53237,5577.15655347318,1671.26416557522
100,-97.58,27.44,0,0,1,0,123.21,2.12332,26.2195,3.761975,87559.3583303454,27602.6359594087
101,-97.58,27.54,0,0,1,0,123.21,2.22893,26.2022,3.74792,100864.051123918,31609.4525857252
102,-97.58,27.64,0,0,1,0,123.21,2.3422,26.1869,3.77661,106551.85729024,33663.248572458
107,-97.48,21.74,-19,-19,1,19,123.21,0.665486,25.0065,4.072735,2665.71113843244,610.196982981683
108,-97.48,21.84,-35,-35,1,35,123.21,0.477751,24.77765,4.127115,652.006966607272,145.956994983571
109,-97.48,21.94,-41,-41,1,41,123.21,0.380197,24.5592,4.18461,375.560364368222,95.7100486768041
110,-97.48,22.04,-56,-56,1,56,123.21,0.279898,21.9676,4.24558,82.8477569639364,27.5537811277269
